"Porta80","Scadenza_Cert","HTTPS_Attivo","Porta443","DNS_Attivo","Ping_OK","Dominio","IP"
"NO","N/A","NO","NO","SI","NO","powtom.unicam.it","193.204.9.232"
"NO","N/A","NO","NO","SI","NO","maponi.unicam.it","193.204.9.246"
"NO","N/A","NO","NO","SI","NO","misici.unicam.it","193.204.9.247"
"NO","N/A","NO","NO","SI","NO","is2.unicam.it","193.204.9.249"
"SI","01 nov 2023","SI","SI","SI","SI","frigio.unicam.it","193.204.9.27"
"NO","N/A","NO","NO","SI","NO","linux2.unicam.it","193.204.9.50"
"NO","N/A","NO","NO","SI","NO","speranza.unicam.it","193.204.9.53"
"NO","N/A","NO","NO","SI","NO","fatone.unicam.it","193.204.9.67"
"NO","N/A","NO","NO","SI","NO","webtutor.unicam.it","193.204.9.78"
"NO","N/A","NO","NO","SI","NO","robocoppa.unicam.it","193.204.9.78"
"NO","N/A","NO","NO","SI","NO","pcman.unicam.it","193.204.9.91"
"NO","N/A","NO","NO","SI","SI","pcman2.unicam.it","193.204.9.92"
"NO","N/A","NO","NO","SI","NO","pcman3.unicam.it","193.204.9.93"
"NO","N/A","NO","NO","SI","NO","pcman4.unicam.it","193.204.9.94"
"NO","N/A","NO","NO","SI","NO","macman.unicam.it","193.204.9.95"
"NO","N/A","NO","NO","SI","NO","www.serg.unicam.it","193.205.88.103"
"NO","N/A","NO","NO","SI","NO","geofisica.unicam.it","193.205.88.168"
"NO","N/A","NO","NO","SI","NO","geochim.unicam.it","193.205.88.58"
"NO","N/A","NO","NO","SI","NO","pharma.unicam.it","193.205.88.69"
"NO","N/A","NO","NO","SI","NO","crescentini.unicam.it","193.205.88.97"
"SI","N/A","NO","NO","SI","NO","ns02.unicam.it","193.205.90.1"
"SI","17 ott 2025","SI","SI","SI","SI","master.unicam.it","193.205.92.100"
"NO","N/A","NO","NO","SI","NO","quasylab.unicam.it","193.205.92.179"
"SI","14 apr 2026","SI","SI","SI","SI","sogniario.unicam.it","193.205.92.106"
"SI","N/A","NO","NO","SI","SI","coastenergytransferring.unicam.it","193.205.92.125"
"NO","N/A","NO","NO","SI","NO","4helix-webinars.unicam.it","193.205.92.127"
"SI","N/A","NO","NO","SI","SI","unicamfinance.unicam.it","193.205.92.129"
"SI","N/A","NO","NO","SI","SI","energyfinanceitalia.unicam.it","193.205.92.129"
"NO","N/A","NO","NO","SI","NO","virtualpros.unicam.it","193.205.92.133"
"SI","31 lug 2024","SI","SI","SI","SI","playground.unicam.it","193.205.92.140"
"NO","N/A","NO","NO","SI","SI","rainfall.unicam.it","193.205.92.143"
"SI","11 gen 2024","SI","SI","SI","SI","renatodeleone.unicam.it","193.205.92.149"
"SI","19 nov 2025","SI","SI","SI","SI","backend-io.unicam.it","193.205.92.150"
"NO","N/A","NO","NO","SI","SI","evelog.unicam.it","193.205.92.151"
"SI","19 nov 2025","SI","SI","SI","SI","cruscotto.unicam.it","193.205.92.157"
"SI","19 nov 2025","SI","SI","SI","SI","analyzer.unicam.it","193.205.92.164"
"SI","19 nov 2025","SI","SI","SI","SI","gaia.unicam.it","193.205.92.183"
"SI","19 nov 2025","SI","SI","SI","SI","unifare.unicam.it","193.205.92.184"
"NO","19 nov 2025","SI","SI","SI","SI","younicam.unicam.it","193.205.92.185"
"NO","N/A","NO","NO","SI","NO","overleaf.unicam.it","193.205.92.187"
"SI","18 giu 2025","SI","SI","SI","SI","play.unicam.it","193.205.92.189"
"NO","N/A","NO","NO","SI","SI","prostool.unicam.it","193.205.92.191"
"SI","Errore SSL","NO","SI","SI","NO","bibliotecadigitale.unicam.it","193.205.92.192"
"SI","21 set 2024","SI","SI","SI","NO","icities2022.unicam.it","193.205.92.192"
"SI","14 apr 2026","SI","SI","SI","SI","bdslab.unicam.it","193.205.92.196"
"SI","N/A","NO","NO","SI","SI","magister.unicam.it","193.205.92.197"
"SI","N/A","NO","NO","SI","SI","coderunner.unicam.it","193.205.92.197"
"SI","N/A","NO","NO","SI","NO","gestioneaule.unicam.it","193.205.92.199"
"SI","N/A","NO","NO","SI","SI","safecloud.unicam.it","193.205.92.205"
"SI","N/A","NO","NO","SI","SI","iotlab.unicam.it","193.205.92.205"
"SI","24 mag 2024","SI","SI","SI","SI","antoine.unicam.it","193.205.92.214"
"SI","N/A","NO","NO","SI","SI","starapp.unicam.it","193.205.92.218"
"SI","03 ago 2025","SI","SI","SI","SI","nudgewise.unicam.it","193.205.92.225"
"NO","N/A","NO","NO","SI","NO","digitalgarage.unicam.it","193.205.92.226"
"SI","15 mag 2025","SI","SI","SI","SI","sec-game.unicam.it","193.205.92.248"
"SI","16 apr 2026","SI","SI","SI","SI","idp.unicam.it","193.205.92.27"
"SI","19 nov 2025","SI","SI","SI","NO","gaia-sso.unicam.it","193.205.92.61"
"SI","19 nov 2025","SI","SI","SI","NO","gaia-ice4ai.unicam.it","193.205.92.62"
"SI","N/A","NO","NO","SI","NO","gaia-minio.unicam.it","193.205.92.63"
"NO","N/A","NO","NO","SI","SI","sbc.unicam.it","193.205.92.66"
"NO","N/A","NO","NO","SI","NO","moocs.unicam.it","193.205.92.67"
"NO","N/A","NO","NO","SI","NO","ubuntu-desktop.unicam.it","193.205.92.73"
"NO","N/A","NO","NO","SI","NO","erigon.unicam.it","193.205.92.75"
"NO","N/A","NO","NO","SI","NO","intraprendi.unicam.it","193.205.92.79"
"SI","05 lug 2025","SI","SI","SI","SI","proslab.unicam.it","193.205.92.97"
"SI","05 lug 2025","SI","SI","SI","SI","srv-alternative-web.unicam.it","193.205.92.97"
"NO","N/A","NO","NO","SI","NO","coastenergy.unicam.it","193.205.92.98"
"SI","29 mag 2025","SI","SI","SI","SI","srv-fisica-web.unicam.it","193.205.94.104"
"SI","Errore SSL","NO","SI","SI","SI","startcup.unicam.it","193.205.94.12"
"NO","N/A","NO","NO","SI","SI","vettore.unicam.it","193.205.94.135"
"NO","N/A","NO","NO","SI","SI","sibilla.unicam.it","193.205.94.138"
"NO","N/A","NO","NO","SI","SI","workgpu.unicam.it","193.205.94.139"
"SI","Errore SSL","NO","SI","SI","SI","unixas.unicam.it","193.205.94.20"
"SI","Errore SSL","NO","SI","SI","SI","oldgnxas.unicam.it","193.205.94.20"
"NO","N/A","NO","NO","SI","SI","pcxas1.unicam.it","193.205.94.201"
"NO","N/A","NO","NO","SI","SI","pcxas2.unicam.it","193.205.94.202"
"NO","N/A","NO","NO","SI","NO","pcxas3.unicam.it","193.205.94.203"
"NO","N/A","NO","NO","SI","NO","pcxas4.unicam.it","193.205.94.204"
"NO","N/A","NO","NO","SI","NO","pcxas5.unicam.it","193.205.94.205"
"NO","N/A","NO","NO","SI","NO","pcxas6.unicam.it","193.205.94.206"
"NO","N/A","NO","NO","SI","NO","pcxas7.unicam.it","193.205.94.207"
"NO","N/A","NO","NO","SI","NO","pcxas8.unicam.it","193.205.94.208"
"NO","N/A","NO","NO","SI","NO","matnuc.unicam.it","193.205.94.21"
"NO","N/A","NO","NO","SI","NO","mastermateriali.unicam.it","193.205.94.21"
"NO","N/A","NO","NO","SI","NO","papera.unicam.it","193.205.94.22"
"NO","N/A","NO","NO","SI","NO","campus.unicam.it","193.205.94.23"
"NO","N/A","NO","NO","SI","NO","str5.unicam.it","193.205.94.24"
"NO","N/A","NO","NO","SI","SI","camars.unicam.it","193.205.94.249"
"NO","N/A","NO","NO","SI","NO","sunlb1.unicam.it","193.205.94.25"
"NO","N/A","NO","NO","SI","NO","sunlb2.unicam.it","193.205.94.26"
"NO","N/A","NO","NO","SI","NO","cambet.unicam.it","193.205.94.27"
"NO","N/A","NO","NO","SI","NO","polverina.unicam.it","193.205.94.28"
"NO","N/A","NO","NO","SI","SI","spiral.unicam.it","193.205.94.29"
"NO","N/A","NO","NO","SI","NO","perali.unicam.it","193.205.94.30"
"NO","N/A","NO","NO","SI","NO","conti.unicam.it","193.205.94.31"
"NO","N/A","NO","NO","SI","NO","dottfisica.unicam.it","193.205.94.36"
"NO","N/A","NO","NO","SI","NO","camcnr.unicam.it","193.205.94.37"
"SI","Errore SSL","NO","SI","SI","SI","serxas.unicam.it","193.205.94.38"
"NO","N/A","NO","NO","SI","SI","rmcxas.unicam.it","193.205.94.94"
"NO","N/A","NO","NO","SI","NO","ifs.unicam.it","64.130.22.169"
